label	is_feature
has_a_filter	1
has_a_fin	1
has_a_fire	1
has_a_flame	1
has_a_flap	1
has_a_flash	1
has_a_flat_blade	1
has_a_flat_head	1
has_a_flat_surface	1
has_a_flat_tail	1
has_a_flavour	1
has_a_fleece	1
has_a_fluffy_tail	1
has_a_flush	1
has_a_focus	1
has_a_food_bowl	1
has_a_foot	1
has_a_forked_tongue	1
has_a_frame	1
has_a_freezer	1
has_a_funnel	1
has_a_fuse	1
has_a_gate	1
has_a_green_stalk	1
has_a_grip_grips	1
has_a_groundsheet	1
has_a_hand	1
has_a_handle_handles	1
has_a_hard_shell	1
has_a_head	1
has_a_headband	1
has_a_heart	1
has_a_heel	1
has_a_hinge_hinges	1
has_a_hip	1
has_a_hob	1
has_a_hole	1
has_a_hole_in_the_centre	1
has_a_hood	1
has_a_horn	1
has_a_hull	1
has_a_hundred_legs	1
has_a_jacket	1
has_a_keyboard	1
has_a_kitchen	1
has_a_knee	1
has_a_knife	1
has_a_knuckle	1
has_a_latch	1
has_a_leash	1
has_a_lens	1
has_a_lever	1
has_a_lid	1
has_a_light	1
has_a_lining	1
has_a_lip	1
has_a_lobe	1
has_a_lock	1
has_a_logo	1
has_a_long_beak	1
has_a_long_body	1
has_a_long_handle	1
has_a_long_neck	1
has_a_long_stem	1
has_a_long_tail	1
has_a_long_tongue	1
has_a_luggage_area	1
has_a_mane	1
has_a_mating_ritual	1
has_a_mattress	1
has_a_message	1
has_a_meter	1
has_a_microphone	1
has_a_minute_hand	1
has_a_mirror	1
has_a_moat	1
has_a_mouth	1
has_a_mouthpiece	1
has_a_nail_nails	1
has_a_name	1
has_a_neck	1
has_a_neck_strap	1
has_a_needle	1
has_a_nib	1
has_a_nose	1
has_a_nozzle	1
has_a_papery_skin	1
has_a_part_for_thumb	1
has_a_peak	1
has_a_pearl	1
has_a_pedal_pedals	1
has_a_pendant	1
has_a_periscope	1
has_a_picture_pictures	1
has_a_pillowcase	1
has_a_pilot	1
has_a_pin	1
has_a_plate	1
has_a_plug	1
has_a_plughole	1
has_a_plunger	1
has_a_point	1
has_a_point_at_the_top	1
has_a_portcullis	1
has_a_pouch	1
has_a_precious_stone	1
has_a_proboscis	1
has_a_prong	1
has_a_propeller	1
has_a_pupil	1
has_a_puppet_master	1
has_a_receiver	1
has_a_red_breast	1
has_a_red_crest	1
has_a_reed	1
has_a_remote_control	1
has_a_retina	1
has_a_rider	1
has_a_rim	1
has_a_rind	1
has_a_roof	1
has_a_rope	1
has_a_rotating_dish	1
has_a_round_end	1
has_a_rudder	1
has_a_saddle	1
has_a_scale	1
has_a_screen	1
has_a_screw	1
has_a_seal	1
has_a_seat_seats	1
has_a_seed	1
has_a_segmented_body	1
has_a_shade	1
has_a_sharp_beak	1
has_a_sharp_blade_blades	1
has_a_sharp_edge_edges	1
has_a_sharp_point	1
has_a_sharp_sound	1
has_a_shell	1
has_a_shirt	1
has_a_short_memory	1
has_a_short_tail	1
has_a_shoulder	1
has_a_shutter	1
has_a_sign	1
has_a_signature	1
has_a_siren	1
has_a_skirt	1
has_a_sleeping_area	1
has_a_slider	1
has_a_small_head	1
has_a_smooth_base	1
has_a_snout	1
has_a_sole	1
has_a_speaker	1
has_a_spine	1
has_a_spout	1
has_a_spring	1
has_a_square_base	1
has_a_stalk_stem	1
has_a_stamp	1
has_a_stand	1
has_a_steering_wheel	1
has_a_stick	1
has_a_sticky_side	1
has_a_sting	1
has_a_stone	1
has_a_stopper	1
has_a_story	1
has_a_strap_around_the_head	1
has_a_strap_between_the_toes	1
has_a_strap_straps	1
has_a_string	1
has_a_striped_tail	1
has_a_strong_flavour	1
has_a_strong_smell	1
has_a_strong_tail	1
has_a_subject	1
has_a_surface	1
has_a_switch	1
has_a_tablet	1
has_a_tail	1
has_a_tank	1
has_a_taxi_driver	1
has_a_thigh	1
has_a_thin_body	1
has_a_thread	1
has_a_throat_pouch	1
has_a_timer	1
has_a_toilet_toilets	1
has_a_tongue	1
has_a_top	1
has_a_trailer	1
has_a_tread	1
has_a_trigger	1
has_a_trunk	1
has_a_turret	1
has_a_twitchy_nose	1
has_a_tyre_tyres	1
has_a_waistband	1
has_a_wheel	1
has_a_wick	1
has_a_wingspan	1
has_a_wire_cord_cable	1
has_a_wooden_frame	1
has_a_wooden_handle	1
has_a_yellow_beak	1
has_a_yellow_centre	1
has_a_zip	1
has_a_zoom	1
has_acorns	1
has_advertising	1
has_air	1
has_an_address	1
has_an_aerial	1
has_an_anchor	1
has_an_ankle	1
has_an_arm	1
has_an_arrow	1
has_an_author	1
has_an_axle	1
has_an_eardrum	1
has_an_edge	1
has_an_elbow	1
has_an_element	1
has_an_emblem	1
has_an_end	1
has_an_engine	1
has_an_envelope	1
has_an_eraser	1
has_an_exhaust	1
has_an_exoskeleton	1
has_an_eye	1
has_an_eyepiece	1
has_an_hour_hand	1
has_an_inner/outer	1
has_an_iris	1
has_an_optic_nerve	1
has_an_ornament	1
has_antenna	1
has_antioxidants	1
has_antlers	1
has_arches	1
has_armour	1
has_arms	1
has_arteries	1
has_articles	1
has_astronauts	1
has_atria	1
has_bacteria	1
has_balls	1
has_barbs	1
has_bark	1
has_bars	1
has_beans	1
has_beautiful_feathers	1
has_been_replaced_by_computers	1
has_bellows	1
has_bells	1
has_belt_loops	1
has_big_back_legs	1
has_big_ears	1
has_big_eggs	1
has_big_eyes	1
has_big_jaws	1
has_big_leaves	1
has_big_petals	1
has_big_rear_wheels	1
has_big_teeth	1
has_big_wheels	1
has_big_wings	1
has_bits_in_it	1
has_black_and_white_stripes	1
has_black_fur	1
has_black_keys	1
has_black_seeds_pips	1
has_black_spots	1
has_black_stripes	1
has_blankets	1
has_blood	1
has_blubber	1
has_blue_lights	1
has_books	1
has_bottoms	1
has_bottoms_and_a_top	1
has_brakes	1
has_branches	1
has_bright_feathers	1
has_bristles	1
has_brown_spots	1
has_bubbles	1
has_buckles	1
has_bullets	1
has_buttons	1
has_caffeine	1
has_calcium	1
has_candles	1
has_cannonballs	1
has_cards	1
has_carriages	1
has_cars	1
has_caterpillar_tracks	1
has_centimetres	1
has_chains	1
has_chambers	1
has_channels	1
has_chapters	1
has_cigarette_rests	1
has_claws	1
has_clothes	1
has_cloves	1
has_cogs	1
has_compartments	1
has_compound_eyes	1
has_cones	1
has_controls	1
has_corners	1
has_cream	1
has_cubs	1
has_cuffs	1
has_cups	1
has_curtains	1
has_curved_rockers	1
has_cushions	1
has_cygnets	1
has_cymbals	1
has_dark_windows	1
has_decoration	1
has_definitions	1
has_descriptions	1
has_dimples	1
has_dirt	1
has_dots	1
has_dots_on_the_faces	1
has_drawers	1
has_drooping_branches	1
has_ducklings	1
has_dust	1
has_ears	1
has_eight_legs	1
has_eight_tentacles	1
has_equipment	1
has_eye_holes	1
has_eyelashes	1
has_eyelids	1
has_eyes	1
has_eyes_on_stalks	1
has_faces	1
has_facts	1
has_fangs	1
has_fat	1
has_feathers	1
